regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
FLOOR,limit_up,F11_closing_strength,10,1109,20,0.01839926402943882,0.0168517176033678,1.0918331568624047,3.5,1.75,6.25
FLOOR,limit_up,F12_closing_strength_10s,5,1109,26,0.023809523809523808,0.00751214650554379,3.169470109768617,1.0,1.0,2.0
FLOOR,limit_up,F12_closing_strength_10s,10,1109,36,0.03311867525298988,0.01227313772622636,2.698468475768741,2.0,1.0,6.25
FLOOR,limit_up,F13_volume_price_divergence,5,1109,24,0.02197802197802198,0.01810140774884764,1.214160925103802,3.0,1.0,4.25
FLOOR,limit_up,F13_volume_price_divergence,10,1109,28,0.025758969641214352,0.031121624887125287,0.8276871704044794,3.0,1.0,5.0
FLOOR,limit_up,F14_volume_no_range,5,1109,30,0.027472527472527472,0.008770399900336364,3.1324144605394606,2.0,1.0,3.0
FLOOR,limit_up,F14_volume_no_range,10,1109,46,0.04231830726770929,0.016292113396161625,2.597471932504433,4.0,2.0,6.75
FLOOR,limit_up,F15_REF_abnormal_volume,5,1109,361,0.3305860805860806,0.13397284165939952,2.467560413673488,1.0,1.0,2.0
FLOOR,limit_up,F15_REF_abnormal_volume,10,1109,430,0.39558417663293466,0.19815076246073232,1.9963797853734115,1.0,1.0,4.0
FLOOR,limit_up,F16u_REF_moved_up,5,1109,456,0.4175824175824176,0.18445247290394917,2.2639025165028137,2.0,1.0,3.0
FLOOR,limit_up,F16u_REF_moved_up,10,1109,597,0.5492180312787488,0.30783318707314283,1.7841417181190786,2.0,1.0,5.0
FLOOR,limit_up,F16d_REF_moved_down,5,1109,163,0.14926739926739926,0.12692163946679955,1.1760594954057852,2.0,1.0,4.0
FLOOR,limit_up,F16d_REF_moved_down,10,1109,255,0.23459061637534498,0.21259872562860085,1.1034431917769951,4.0,2.0,7.0
