split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
val,b_imb_top5,8,387,153,149,22,0.3953488372093023,0.21476510067114093,0.6174496644295302,-0.8758389261744951,0.19559228650137742,-0.8512396694214863,0.16666666666666666,-2.2424242424242533,66,0.04809843400447428,0.01917281416976352,-0.02459925675300878
val,b_imb_weighted,8,387,164,158,22,0.42377260981912146,0.20253164556962025,0.5569620253164557,-0.7531645569620282,0.19559228650137742,-0.8512396694214863,0.1791044776119403,-0.8208955223880703,67,0.023427167957679962,0.006939359068242834,0.0980751124594581
val,b_largest_wall_bid,8,387,247,236,22,0.6382428940568475,0.1694915254237288,0.6313559322033898,-1.0381355932203409,0.19559228650137742,-0.8512396694214863,0.7,-0.2500000000000077,60,-0.5305084745762711,-0.02610076107764861,-0.18689592379885456
val,b_one_frame_pressure,8,387,44,43,44,0.11369509043927649,0.20930232558139536,0.5348837209302325,-0.6511627906976688,0.19559228650137742,-0.8512396694214863,0.18604651162790697,-1.0813953488372,43,0.023255813953488386,0.013710039080017944,0.20007687872381752
val,score_ge_3,8,387,131,127,32,0.3385012919896641,0.2677165354330709,0.5826771653543307,-0.700787401574796,0.19559228650137742,-0.8512396694214863,0.14049586776859505,-0.7644628099173695,121,0.12722066766447584,0.07212424893169347,0.1504522678466903
val,score_ge_4,8,387,39,36,14,0.10077519379844961,0.4444444444444444,0.4722222222222222,-0.7638888888888731,0.19559228650137742,-0.8512396694214863,0.08333333333333333,-1.1527777777777843,36,0.3611111111111111,0.248852157943067,0.08735078053261325
val,score_ge_5,8,387,13,11,7,0.03359173126614987,0.5454545454545454,0.45454545454545453,-1.590909090909065,0.19559228650137742,-0.8512396694214863,0.2727272727272727,-1.6363636363636402,11,0.2727272727272727,0.349862258953168,-0.7396694214875787
val,score_ge_6,8,387,2,2,2,0.00516795865633075,1.0,0.0,2.4999999999999822,0.19559228650137742,-0.8512396694214863,0.0,-5.0,2,1.0,0.8044077134986226,3.3512396694214686
val,score_ge_7,8,387,0,0,0,0.0,,,,0.19559228650137742,-0.8512396694214863,,,0,,,
holdout,composite,2,392,0,0,0,0.0,,,,0.2017291066282421,0.04034582132565022,,,0,,,
holdout,mirror_composite,2,392,0,0,0,0.0,,,,0.2017291066282421,0.04034582132565022,,,0,,,
holdout,b_imb_l1,2,392,144,126,32,0.3673469387755102,0.3412698412698413,0.07936507936507936,0.4007936507936475,0.2017291066282421,0.04034582132565022,0.22448979591836735,0.03061224489795998,98,0.11678004535147393,0.1395407346415992,0.36044782946799725
holdout,b_imb_top5,2,392,172,158,25,0.4387755102040816,0.2974683544303797,0.13291139240506328,0.3101265822784834,0.2017291066282421,0.04034582132565022,0.21794871794871795,-0.20512820512820668,78,0.07951963648166177,0.09573924780213763,0.26978076095283315
holdout,b_imb_weighted,2,392,178,165,22,0.45408163265306123,0.296969696969697,0.1393939393939394,0.300000000000003,0.2017291066282421,0.04034582132565022,0.3409090909090909,0.05681818181818343,44,-0.04393939393939389,0.0952405903414549,0.25965417867435275
holdout,b_largest_wall_bid,2,392,237,216,23,0.6045918367346939,0.24074074074074073,0.1388888888888889,0.1550925925925956,0.2017291066282421,0.04034582132565022,0.1,-0.28749999999999076,40,0.14074074074074072,0.03901163411249864,0.1147467712669454
holdout,b_one_frame_pressure,2,392,36,33,36,0.09183673469387756,0.15151515151515152,0.09090909090909091,0.0909090909090965,0.2017291066282421,0.04034582132565022,0.36363636363636365,0.36363636363636126,33,-0.21212121212121213,-0.05021395511309057,0.050563269583446285
holdout,score_ge_3,2,392,154,137,32,0.39285714285714285,0.27007299270072993,0.10948905109489052,0.153284671532838,0.2017291066282421,0.04034582132565022,0.20652173913043478,-0.09239130434782238,92,0.06355125357029515,0.06834388607248784,0.11293885020718779
holdout,score_ge_4,2,392,70,64,26,0.17857142857142858,0.265625,0.078125,0.3984374999999962,0.2017291066282421,0.04034582132565022,0.19047619047619047,-0.015873015873008205,63,0.07514880952380953,0.06389589337175791,0.358091678674346
holdout,score_ge_5,2,392,22,21,9,0.05612244897959184,0.38095238095238093,0.14285714285714285,0.4523809523809402,0.2017291066282421,0.04034582132565022,0.09523809523809523,-0.14285714285713136,21,0.2857142857142857,0.17922327432413884,0.41203513105529
holdout,score_ge_6,2,392,4,4,4,0.01020408163265306,0.5,0.25,0.8749999999999769,0.2017291066282421,0.04034582132565022,0.0,-1.0000000000000053,4,0.5,0.29827089337175794,0.8346541786743267
holdout,score_ge_7,2,392,0,0,0,0.0,,,,0.2017291066282421,0.04034582132565022,,,0,,,
holdout,composite,4,392,0,0,0,0.0,,,,0.3,0.004687500000005174,,,0,,,
holdout,mirror_composite,4,392,0,0,0,0.0,,,,0.3,0.004687500000005174,,,0,,,
holdout,b_imb_l1,4,392,144,116,32,0.3673469387755102,0.5086206896551724,0.15517241379310345,0.676724137931033,0.3,0.004687500000005174,0.3522727272727273,0.0056818181818243186,88,0.15634796238244508,0.2086206896551724,0.6720366379310279
holdout,b_imb_top5,4,392,172,149,25,0.4387755102040816,0.44966442953020136,0.2214765100671141,0.5369127516778598,0.3,0.004687500000005174,0.17567567567567569,-0.6351351351351365,74,0.2739887538545257,0.14966442953020137,0.5322252516778546
holdout,b_imb_weighted,4,392,178,150,22,0.45408163265306123,0.44,0.25333333333333335,0.4433333333333408,0.3,0.004687500000005174,0.41025641025641024,-0.2820512820512779,39,0.02974358974358976,0.14,0.4386458333333356
holdout,b_largest_wall_bid,4,392,237,197,23,0.6045918367346939,0.37055837563451777,0.2436548223350254,0.18274111675127597,0.3,0.004687500000005174,0.14285714285714285,-0.357142857142847,35,0.22770123277737492,0.07055837563451778,0.1780536167512708
holdout,b_one_frame_pressure,4,392,36,33,36,0.09183673469387756,0.36363636363636365,0.15151515151515152,0.45454545454545775,0.3,0.004687500000005174,0.24242424242424243,-0.015151515151515367,33,0.12121212121212122,0.06363636363636366,0.4498579545454526
holdout,score_ge_3,4,392,154,127,32,0.39285714285714285,0.4015748031496063,0.2125984251968504,0.17716535433069552,0.3,0.004687500000005174,0.27380952380952384,-0.2678571428571268,84,0.12776527934008247,0.10157480314960632,0.17247785433069035
holdout,score_ge_4,4,392,70,60,26,0.17857142857142858,0.4,0.18333333333333332,0.4416666666666611,0.3,0.004687500000005174,0.23728813559322035,0.09322033898305097,59,0.16271186440677968,0.10000000000000003,0.4369791666666559
holdout,score_ge_5,4,392,22,20,9,0.05612244897959184,0.5,0.15,0.37499999999997513,0.3,0.004687500000005174,0.2,-0.22499999999999076,20,0.3,0.2,0.37031249999996996
holdout,score_ge_6,4,392,4,3,4,0.01020408163265306,0.3333333333333333,0.3333333333333333,-4.7369515717340014e-14,0.3,0.004687500000005174,0.3333333333333333,0.9999999999999668,3,0.0,0.033333333333333326,-0.004687500000052543
holdout,score_ge_7,4,392,0,0,0,0.0,,,,0.3,0.004687500000005174,,,0,,,
holdout,composite,8,392,0,0,0,0.0,,,,0.332089552238806,-0.15111940298506407,,,0,,,
holdout,mirror_composite,8,392,0,0,0,0.0,,,,0.332089552238806,-0.15111940298506407,,,0,,,
holdout,b_imb_l1,8,392,144,93,32,0.3673469387755102,0.5591397849462365,0.23655913978494625,0.7096774193548511,0.332089552238806,-0.15111940298506407,0.31666666666666665,0.025000000000019302,60,0.24247311827956985,0.22705023270743052,0.8607968223399152
holdout,b_imb_top5,8,392,172,128,25,0.4387755102040816,0.4765625,0.28125,0.5898437500000144,0.332089552238806,-0.15111940298506407,0.11666666666666667,-1.2583333333333129,60,0.3598958333333333,0.14447294776119401,0.7409631529850785
holdout,b_imb_weighted,8,392,178,119,22,0.45408163265306123,0.47058823529411764,0.33613445378151263,0.533613445378166,0.332089552238806,-0.15111940298506407,0.2916666666666667,-0.8541666666666566,24,0.17892156862745096,0.13849868305531166,0.6847328483632301
holdout,b_largest_wall_bid,8,392,237,163,23,0.6045918367346939,0.3558282208588957,0.34355828220858897,-0.018404907975447308,0.332089552238806,-0.15111940298506407,0.21428571428571427,-0.46428571428570437,28,0.14154250657318143,0.02373866862008972,0.13271449500961677
holdout,b_one_frame_pressure,8,392,36,27,36,0.09183673469387756,0.37037037037037035,0.3333333333333333,0.33333333333332493,0.332089552238806,-0.15111940298506407,0.4444444444444444,0.0925925925926097,27,-0.07407407407407407,0.038280818131564365,0.48445273631838903
holdout,score_ge_3,8,392,154,102,32,0.39285714285714285,0.35294117647058826,0.3137254901960784,-0.21078431372549736,0.332089552238806,-0.15111940298506407,0.4307692307692308,-0.05384615384615625,65,-0.07782805429864253,0.020851624231782273,-0.059664910740433286
holdout,score_ge_4,8,392,70,52,26,0.17857142857142858,0.40384615384615385,0.3076923076923077,0.18269230769230413,0.332089552238806,-0.15111940298506407,0.18,-0.2999999999999986,50,0.22384615384615386,0.07175660160734787,0.3338117106773682
holdout,score_ge_5,8,392,22,19,9,0.05612244897959184,0.2631578947368421,0.2631578947368421,0.07894736842103879,0.332089552238806,-0.15111940298506407,0.2777777777777778,-0.27777777777777973,18,-0.0146198830409357,-0.0689316575019639,0.23006677140610288
holdout,score_ge_6,8,392,4,3,4,0.01020408163265306,0.0,0.6666666666666666,-0.666666666666688,0.332089552238806,-0.15111940298506407,0.3333333333333333,-4.7369515717340014e-14,3,-0.3333333333333333,-0.332089552238806,-0.5155472636816238
holdout,score_ge_7,8,392,0,0,0,0.0,,,,0.332089552238806,-0.15111940298506407,,,0,,,
